ID_Place,country,city,latitude,longitude
Place_1434,Chile,Calama,-23.095,-69.3358
Place_1435,Chile,Monte Patria,-30.5525,-70.3158
Place_1436,Chile,Tocopilla,-22.8297,-70.2289
Place_1437,Chile,Iquique,-20.1532,-70.3093
Place_1438,Chile,Iquique,-20.1678,-70.2718
Place_1439,Chile,San Pedro de Atacama,-23.9897,-67.7014
Place_1440,Argentina,San Martín,-31.3566,-68.3182
Place_1441,Chile,Iquique,-20.9476,-68.743
Place_1442,Chile,Calama,-21.1146,-68.8763
Place_1443,Chile,Taltal,-24.8124,-70.4303
Place_1444,Peru,Locumba,-17.4889,-70.9339
Place_1445,Chile,Illapel,-31.6813,-71.7078
Place_1446,Chile,Iquique,-20.9736,-69.3657
Place_1447,Peru,Estique,-17.5151,-69.9517
Place_1448,Argentina,Villa Basilio Nievas,-31.6762,-69.0558
Place_1449,Argentina,Calingasta,-31.9533,-69.3287
Place_1450,Chile,Arica,-19.0682,-69.5198
Place_1451,Chile,Iquique,-20.5254,-70.4448
Place_1452,Chile,Vallenar,-28.8697,-71.3887
Place_1453,Chile,San Pedro de Atacama,-22.9693,-68.1547
Place_1454,Chile,Arica,-18.8199,-69.5638
Place_1455,Chile,Vallenar,-28.4306,-70.5695
Place_1456,Argentina,El Aguilar,-23.0163,-66.5462
Place_1457,Chile,Nueva Imperial,-38.8462,-73.0002
Place_1458,Chile,Taltal,-24.9215,-70.8706
Place_1459,Argentina,Villa La Angostura,-40.9396,-71.671
Place_1460,Chile,Copiapó,-27.1192,-71.1684
Place_1461,Chile,Constitución,-34.5108,-73.4105
Place_1462,Chile,San Antonio,-34.1394,-72.1077
Place_1463,Chile,Ovalle,-30.798,-71.4945
Place_1464,Argentina,San Antonio de los Cobres,-24.155,-67.2165
Place_1465,Chile,Illapel,-31.5497,-71.8047
Place_1466,Chile,Villa Presidente Frei,-33.3349,-70.1392
Place_1467,Chile,Cartagena,-33.372,-72.5002
Place_1468,Argentina,San Antonio de los Cobres,-24.0456,-66.8444
Place_1469,Chile,Taltal,-25.5513,-69.4512
Place_1470,Chile,Diego de Almagro,-25.5939,-69.4528
Place_1471,Chile,Cartagena,-33.3656,-72.5544
Place_1472,Argentina,San Antonio de los Cobres,-24.2981,-67.2042
Place_1473,Argentina,San Antonio de los Cobres,-24.0293,-67.2767
Place_1474,Argentina,San Antonio de los Cobres,-24.215,-67.425
Place_1475,Chile,Cartagena,-33.3534,-72.4489
Place_1476,Argentina,Villa Basilio Nievas,-31.7954,-69.2171
Place_1477,Chile,Copiapó,-27.5167,-69.3156
Place_1478,Chile,Arica,-18.9386,-69.6431
Place_1479,Bolivia,Villazón,-22.0315,-66.0223
Place_1480,Argentina,Calingasta,-31.5286,-69.9468
Place_1481,Chile,Calama,-21.8162,-68.4981
Place_1482,Chile,Coquimbo,-30.1741,-72.1707
Place_1483,Argentina,Mendoza,-32.7655,-68.5847
Place_1484,Chile,Chimbarongo,-34.8403,-70.6847
Place_1485,Chile,Iquique,-20.1899,-70.6301
Place_1486,Chile,Vallenar,-29.0399,-69.8232
Place_1487,Argentina,Nueve de Julio,-31.8027,-68.32
Place_1488,Chile,La Ligua,-32.2257,-71.6188
Place_1489,Chile,Iquique,-19.9889,-70.1098
Place_1490,Chile,Copiapó,-27.5735,-69.4035
Place_1491,Chile,La Ligua,-32.2594,-71.7159
Place_1492,Argentina,Río Turbio,-50.9444,-72.1433
Place_1493,Argentina,Londres,-27.8334,-66.8867
Place_1494,Chile,Bulnes,-36.6821,-72.4769
Place_1495,Chile,San Pedro de Atacama,-22.679,-68.2103
Place_1496,Chile,Iquique,-20.5155,-69.8584
Place_1497,Chile,Calama,-21.4848,-68.5385
Place_1498,Chile,Iquique,-20.375,-70.1874
Place_1499,Argentina,San Antonio de los Cobres,-24.1094,-66.9586
Place_1500,Chile,Cañete,-38.1354,-73.9532
Place_1501,Chile,San Pedro de Atacama,-23.3495,-68.4931
Place_1502,Chile,Talcahuano,-36.637,-73.1553
Place_1503,Chile,San Pedro de Atacama,-23.2758,-68.5679
Place_1504,Argentina,Caucete,-31.9108,-67.2745
Place_1505,Chile,San Pedro de Atacama,-21.9719,-67.3174
Place_1506,Argentina,San Antonio de los Cobres,-24.1903,-67.1124
Place_1507,Chile,Coquimbo,-30.0439,-71.5655
Place_1508,Argentina,San Antonio de los Cobres,-24.0137,-67.0341
Place_1509,Argentina,San Antonio de los Cobres,-24.2889,-67.1774
Place_1510,Bolivia,Challapata,-18.7952,-67.1246
Place_1511,Chile,La Ligua,-32.0655,-71.8569
Place_1512,Chile,Bulnes,-36.6195,-72.5912
Place_1513,Chile,Calama,-21.4709,-68.3977
Place_1514,Bolivia,Atocha,-21.4696,-66.7434
Place_1515,Argentina,Vinchina,-28.6386,-68.9641
Place_1516,Chile,San Pedro de Atacama,-23.9556,-67.9087
Place_1517,Chile,Aisen,-44.566,-80.0995
Place_1518,Chile,Aisen,-44.6078,-80.0868
Place_1519,Chile,Mulchén,-37.5253,-71.5412
Place_1520,Chile,San Pedro de Atacama,-23.2501,-68.5144
Place_1521,Chile,Calama,-22.062,-69.3472
Place_1522,Chile,San Pedro de Atacama,-23.7995,-67.9879
Place_1523,Argentina,Tinogasta,-28.4644,-67.6189
Place_1524,Chile,Calama,-21.8116,-68.371
Place_1525,Chile,Calama,-21.731,-68.5373
Place_1526,Chile,Ovalle,-30.445,-71.647
Place_1527,Argentina,Chilecito,-28.9184,-67.5478
Place_1528,Chile,Iquique,-20.7376,-69.2094
Place_1529,Chile,Antofagasta,-23.0864,-70.465
Place_1530,Chile,San Pedro de Atacama,-23.3547,-68.4336
Place_1531,Chile,San Pedro de Atacama,-23.274,-68.4677
Place_1532,Chile,Calama,-22.2686,-69.3141
Place_1533,Peru,Mazo Cruz,-17.3353,-69.2858
Place_1534,Argentina,San Rafael,-35.0074,-69.5534
Place_1535,Argentina,San Martín,-31.2716,-68.263
Place_1536,Chile,Calama,-21.3999,-68.5881
Place_1537,Chile,Calama,-21.3927,-68.675
Place_1538,Chile,Calama,-21.8538,-68.5736
Place_1539,Argentina,Villa Basilio Nievas,-31.2337,-68.9638
Place_1540,Chile,San Clemente,-35.5124,-71.3877
Place_1541,Chile,Vallenar,-29.1575,-71.2771
Place_1542,Argentina,San Antonio de los Cobres,-24.2338,-67.2822
Place_1543,Chile,Copiapó,-27.6549,-69.2014
Place_1544,Argentina,El Aguilar,-23.2182,-66.1858
Place_1545,Peru,Palca,-18.3291,-69.2638
Place_1546,Chile,Illapel,-31.5538,-72.2411
Place_1547,Argentina,Caucete,-31.6953,-68.2088
Place_1548,Argentina,Abra Pampa,-22.6074,-66.4387
Place_1549,Chile,San Pedro de Atacama,-22.2701,-67.3655
Place_1550,Chile,Iquique,-20.4948,-69.1996
Place_1551,Argentina,San Antonio de los Cobres,-24.2937,-67.1808
Place_1552,Argentina,Abra Pampa,-22.795,-66.2722
Place_1553,Chile,Calama,-22.8432,-68.6933
Place_1554,Argentina,San Antonio de los Cobres,-24.2952,-66.9281
Place_1555,Chile,Iquique,-19.6723,-69.5008
Place_1556,Chile,Iquique,-20.1787,-69.9218
Place_1557,Chile,Arica,-18.7269,-69.254
Place_1558,Bolivia,Uyuni,-21.3081,-67.65
Place_1559,Chile,Iquique,-19.5977,-69.7698
Place_1560,Chile,Iquique,-19.7525,-70.3526
Place_1561,Chile,Villa Presidente Frei,-33.5124,-69.8262
Place_1562,Argentina,San Antonio de los Cobres,-24.2544,-67.134
Place_1563,Chile,Calama,-22.9595,-69.0494
Place_1564,Argentina,San Antonio de los Cobres,-24.2118,-67.1596
Place_1565,Chile,Los Andes,-33.0136,-70.4344
Place_1566,Chile,Iquique,-20.3786,-69.1884
Place_1567,Argentina,San Agustín de Valle Fértil,-31.3796,-67.3703
Place_1568,Chile,San Bernardo,-33.5532,-70.7334
Place_1569,Chile,Ancud,-41.6862,-74.0472
Place_1570,Chile,Calama,-21.0928,-68.7368
Place_1571,Argentina,San Antonio de los Cobres,-24.1333,-67.2213
Place_1572,Argentina,Antofagasta de la Sierra,-26.0446,-66.6988
Place_1573,Chile,Arica,-19.1842,-69.2246
Place_1574,Chile,Calama,-21.4902,-68.3988
Place_1575,Chile,San Pedro de Atacama,-24.5162,-68.6367
Place_1576,Bolivia,Challapata,-19.451,-68.1433
Place_1577,Chile,Iquique,-19.9473,-70.0688
