ID_Date,ID_Place,ID_Mag,mag,depth,dmin
Date_0424,Place_0424,mb,4.5,190.8,115.87
Date_0425,Place_0425,mb,4.2,220.41,175.585
Date_0426,Place_0426,mb,4.4,135.18,93.853
Date_0427,Place_0427,mb,4.2,56.31,51.152
Date_0428,Place_0428,mb,4.3,182.95,171.248
Date_0429,Place_0429,mb,4.1,58.85,6.116
Date_0430,Place_0430,mb,4.4,250.57,338.715
Date_0431,Place_0431,mwr,4.4,10.0,114.981
Date_0432,Place_0432,mb,4.6,40.6,64.607
Date_0433,Place_0433,mb,4.1,129.87,78.396
Date_0434,Place_0434,mww,5.2,107.53,49.706
Date_0435,Place_0435,mb,4.4,10.0,87.514
Date_0436,Place_0436,mb,4.4,10.0,83.289
Date_0437,Place_0437,mb,4.4,124.69,113.424
Date_0438,Place_0438,mww,5.4,20.08,79.174
Date_0439,Place_0439,mwr,4.5,38.01,27.466
Date_0440,Place_0440,mww,5.2,38.16,104.194
Date_0441,Place_0441,mb,4.3,132.51,38.586
Date_0442,Place_0442,mb,4.1,101.28,24.686
Date_0443,Place_0443,mwr,4.7,118.22,82.399
Date_0444,Place_0444,mb,4.1,108.66,75.616
Date_0445,Place_0445,mb,4.1,157.8,46.926
Date_0446,Place_0446,ml,4.0,10.0,96.188
Date_0447,Place_0447,mwr,4.6,10.0,91.406
Date_0448,Place_0448,mb,4.4,10.0,87.07
Date_0449,Place_0449,mwr,4.4,10.64,89.961
Date_0450,Place_0450,mwr,4.2,13.54,94.742
Date_0451,Place_0451,mb,4.5,10.0,139.334
Date_0452,Place_0452,mwr,4.1,19.89,87.181
Date_0453,Place_0453,mwr,4.3,10.0,81.732
Date_0454,Place_0454,mb,4.2,10.0,81.398
Date_0455,Place_0455,mb,4.6,10.0,79.286
Date_0456,Place_0456,mwr,4.6,20.63,81.954
Date_0457,Place_0457,mb,4.3,9.75,82.51
Date_0458,Place_0458,mb,4.2,124.64,68.388
Date_0459,Place_0459,mwr,4.0,10.91,85.29
Date_0460,Place_0460,mb,4.5,10.0,84.401
Date_0461,Place_0461,mwr,4.5,19.05,79.063
Date_0462,Place_0462,mww,6.0,22.0,71.057
Date_0463,Place_0463,mww,5.9,24.0,72.725
Date_0464,Place_0464,mb,4.3,184.03,101.081
Date_0465,Place_0465,mwr,4.3,91.8,4.003
Date_0466,Place_0466,mb,4.0,125.9,86.847
Date_0467,Place_0467,mb,4.0,106.76,60.938
Date_0468,Place_0468,mb,4.4,179.51,172.471
Date_0469,Place_0469,mb,4.2,34.86,67.054
